artist_a,artist_b,artist_a_key,artist_b_key,category,affinity_score,difficulty_score,shared_traits,conflict_signals,effect_on_prompt_generation,what_models_struggle_with,inference_basis
Adolph von Menzel,Albrecht Dürer,adolph_von_menzel,albrecht_durer,tense-but-usable,47,41,"['grounded realism', 'muted or pastel color']",['literal depiction vs dream-symbol logic'],"Prompt should assign ownership explicitly, usually letting one artist drive grounded realism and the other drive grounded realism and symbolic or dream logic. Without that split, the blend can wobble.",Model will tend to average or drop one side when forced to hold literal depiction vs dream-symbol logic at the same time.,"Derived heuristically from hallmarks, composition, palette, surface, and mood fields in the UI-aligned artist roster."
Adolph von Menzel,Alexandre Cabanel,adolph_von_menzel,alexandre_cabanel,tense-but-usable,36,69,"['cool palette bias', 'grounded realism']","['literal depiction vs dream-symbol logic', 'story-illustration simplification vs pure observational realism']","Prompt should assign ownership explicitly, usually letting one artist drive grounded realism and the other drive grounded realism and symbolic or dream logic. Without that split, the blend can wobble.",Model will tend to average or drop one side when forced to hold literal depiction vs dream-symbol logic and story-illustration simplification vs pure observational realism at the same time.,"Derived heuristically from hallmarks, composition, palette, surface, and mood fields in the UI-aligned artist roster."
Adolph von Menzel,Alphonse Mucha,adolph_von_menzel,alphonse_mucha,high-conflict,0,88,[],"['observed realism vs ornamental flattening', 'panoramic density vs isolated minimal staging']","Prompt needs hard domain separation because it is asking for observed realism vs ornamental flattening, plus panoramic density vs isolated minimal staging.",Model will usually flatten or ignore one artist because observed realism vs ornamental flattening and panoramic density vs isolated minimal staging are hard to resolve in one image.,"Derived heuristically from hallmarks, composition, palette, surface, and mood fields in the UI-aligned artist roster."
Adolph von Menzel,Amedeo Modigliani,adolph_von_menzel,amedeo_modigliani,complementary,100,18,"['cool palette bias', 'grounded realism', 'muted or pastel color', 'rough tactile paint']",[],"Prompt can fuse shared cool palette bias, grounded realism with grounded realism and grounded realism and soft atmospheric transitions. This usually creates a readable hybrid instead of two competing instructions.",Main risk is generic averaging: the model may collapse the blend into a safer middle and lose whichever artist is weaker.,"Derived heuristically from hallmarks, composition, palette, surface, and mood fields in the UI-aligned artist roster."
Adolph von Menzel,Andersen Brendekilde,adolph_von_menzel,andersen_brendekilde,complementary,59,18,"['grounded realism', 'rough tactile paint']",[],"Prompt can fuse shared grounded realism, rough tactile paint with grounded realism and grounded realism. This usually creates a readable hybrid instead of two competing instructions.",Main risk is generic averaging: the model may collapse the blend into a safer middle and lose whichever artist is weaker.,"Derived heuristically from hallmarks, composition, palette, surface, and mood fields in the UI-aligned artist roster."
Adolph von Menzel,Arnold Böcklin,adolph_von_menzel,arnold_bocklin,tense-but-usable,35,69,"['panoramic density', 'rough tactile paint']","['literal depiction vs dream-symbol logic', 'story-illustration simplification vs pure observational realism']","Prompt should assign ownership explicitly, usually letting one artist drive grounded realism and the other drive symbolic or dream logic and soft atmospheric transitions. Without that split, the blend can wobble.",Model will tend to average or drop one side when forced to hold literal depiction vs dream-symbol logic and story-illustration simplification vs pure observational realism at the same time.,"Derived heuristically from hallmarks, composition, palette, surface, and mood fields in the UI-aligned artist roster."
Adolph von Menzel,Artemisia Gentileschi,adolph_von_menzel,artemisia_gentileschi,complementary,59,18,"['panoramic density', 'rough tactile paint']",[],"Prompt can fuse shared panoramic density, rough tactile paint with grounded realism and visual direction. This usually creates a readable hybrid instead of two competing instructions.",Main risk is generic averaging: the model may collapse the blend into a safer middle and lose whichever artist is weaker.,"Derived heuristically from hallmarks, composition, palette, surface, and mood fields in the UI-aligned artist roster."
Adolph von Menzel,Arthur Rackham,adolph_von_menzel,arthur_rackham,tense-but-usable,18,56,['muted or pastel color'],['story-illustration simplification vs pure observational realism'],"Prompt should assign ownership explicitly, usually letting one artist drive grounded realism and the other drive line-led drawing control and illustrative storytelling. Without that split, the blend can wobble.",Model will tend to average or drop one side when forced to hold story-illustration simplification vs pure observational realism at the same time.,"Derived heuristically from hallmarks, composition, palette, surface, and mood fields in the UI-aligned artist roster."
Adolph von Menzel,Bartolomé Esteban Murillo,adolph_von_menzel,bartolome_esteban_murillo,complementary,28,29,['cool palette bias'],[],Prompt can fuse shared cool palette bias with grounded realism and soft atmospheric transitions. This usually creates a readable hybrid instead of two competing instructions.,Main risk is generic averaging: the model may collapse the blend into a safer middle and lose whichever artist is weaker.,"Derived heuristically from hallmarks, composition, palette, surface, and mood fields in the UI-aligned artist roster."
Adolph von Menzel,Briton Rivière,adolph_von_menzel,briton_riviere,tense-but-usable,48,40,"['grounded realism', 'muted or pastel color']",['story-illustration simplification vs pure observational realism'],"Prompt should assign ownership explicitly, usually letting one artist drive grounded realism and the other drive grounded realism and soft atmospheric transitions. Without that split, the blend can wobble.",Model will tend to average or drop one side when forced to hold story-illustration simplification vs pure observational realism at the same time.,"Derived heuristically from hallmarks, composition, palette, surface, and mood fields in the UI-aligned artist roster."
